Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
25564665,"The Mistake (Off-Campus, #2)",Elle Kennedy,"Kennedy, Elle",,"=""151166066X""","=""9781511660662""",0,4.13,Createspace Independent Publishing Platform,Paperback,296,2015,2015,,2019/04/23,to-read,to-read (#465),to-read,,,,0,,,0,,,,,
25402194,The Choice,Nicholas Sparks,"Sparks, Nicholas",,"=""""","=""""",0,3.99,Grand Central Publishing,Kindle Edition,325,2007,2007,,2019/04/23,to-read,to-read (#463),to-read,,,,0,,,0,,,,,
15505346,"On the Island (On the Island, #1)",Tracey Garvis Graves,"Graves, Tracey Garvis",,"=""1405910216""","=""9781405910217""",0,4.13,Penguin,Paperback,346,2012,2011,,2019/04/23,to-read,to-read (#462),to-read,,,,0,,,0,,,,,
6479259,"Spirit Bound (Vampire Academy, #5)",Richelle Mead,"Mead, Richelle",,"=""1595142509""","=""9781595142504""",0,4.36,Penguin Razorbill,Hardcover,489,2010,2010,,2019/04/23,to-read,to-read (#461),to-read,,,,0,,,0,,,,,
17673307,"Neanderthal Seeks Human (Knitting in the City, #1)",Penny Reid,"Reid, Penny",,"=""""","=""""",0,3.94,Caped Publishing,Kindle Edition,403,2013,2013,,2019/04/23,to-read,to-read (#460),to-read,,,,0,,,0,,,,,
59810,"Jewels of the Sun (Gallaghers of Ardmore, #1)",Nora Roberts,"Roberts, Nora",,"=""0515126772""","=""9780515126778""",0,4.22,Jove,Mass Market Paperback,347,1999,1999,,2019/04/23,to-read,to-read (#459),to-read,,,,0,,,0,,,,,
16113791,"The Coincidence of Callie & Kayden (The Coincidence, #1)",Jessica Sorensen,"Sorensen, Jessica",,"=""""","=""""",0,4.19,,Kindle Edition,283,2012,2012,,2019/04/23,to-read,to-read (#458),to-read,,,,0,,,0,,,,,
479309,Naked in Death (In Death #1),J.D. Robb,"Robb, J.D.",,"=""0425148297""","=""9780425148297""",0,4.12,Berkley Publishing Group,Mass Market Paperback,306,1995,1995,,2019/04/23,to-read,to-read (#456),to-read,,,,0,,,0,,,,,
10967,"The Fiery Cross (Outlander, #5)",Diana Gabaldon,"Gabaldon, Diana",,"=""0440221668""","=""9780440221661""",0,4.27,Dell,Mass Market Paperback,1443,2005,2001,,2019/04/23,to-read,to-read (#457),to-read,,,,0,,,0,,,,,
110494,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,"Harris, Charlaine",,"=""1841493007""","=""9781841493008""",0,3.98,Orbit,Mass Market Paperback,291,2004,2002,,2019/04/23,to-read,to-read (#455),to-read,,,,0,,,0,,,,,
13047090,"Onyx (Lux, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1620610116""","=""9781620610114""",0,4.31,Entangled Teen,Paperback,366,2012,2012,,2019/04/23,to-read,to-read (#454),to-read,,,,0,,,0,,,,,
29367958,The Wall of Winnipeg and Me,Mariana Zapata,"Zapata, Mariana",,"=""""","=""""",0,4.34,,Kindle Edition,673,2016,2016,,2019/04/23,to-read,to-read (#453),to-read,,,,0,,,0,,,,,
43604960,"Born in Fire (Born In Trilogy, #1)",Nora Roberts,"Roberts, Nora",,"=""0515114693""","=""9780515114690""",0,4.22,Berkley,Paperback,416,2019,1994,,2019/04/23,to-read,to-read (#452),to-read,,,,0,,,0,,,,,
15926,Nights in Rodanthe,Nicholas Sparks,"Sparks, Nicholas",,"=""0446612707""","=""9780553813951""",0,3.83,Warner Books,Paperback,222,2004,2002,,2019/04/23,to-read,to-read (#451),to-read,,,,0,,,0,,,,,
60510,"Poison Study (Study, #1)",Maria V. Snyder,"Snyder, Maria V.",,"=""0778324338""","=""9780778324331""",0,4.15,Mira,Paperback,409,2007,2005,,2019/04/23,to-read,to-read (#450),to-read,,,,0,,,0,,,,,
84136,Fantasy Lover (Hunter Legends Series #1),Sherrilyn Kenyon,"Kenyon, Sherrilyn",,"=""0312979975""","=""9780312979973""",0,4.17,St. Martin's Press,Mass Market Paperback,337,2002,2002,,2019/04/23,to-read,to-read (#449),to-read,,,,0,,,0,,,,,
28678119,"Paper Princess (The Royals, #1)",Erin Watt,"Watt, Erin","Elle Kennedy, Jen Frederick","=""""","=""""",0,4.03,Timeout LLC,Kindle Edition,370,2016,2016,,2019/04/23,to-read,to-read (#448),to-read,,,,0,,,0,,,,,
5098079,"Lover Avenged (Black Dagger Brotherhood, #7)",J.R. Ward,"Ward, J.R.",,"=""0451225856""","=""9780451225856""",0,4.38,NAL,Hardcover,527,2009,2009,,2019/04/23,to-read,to-read (#447),to-read,,,,0,,,0,,,,,
25111004,November 9,Colleen Hoover,"Hoover, Colleen",,"=""1501110349""","=""9781501110344""",0,4.37,Atria Books,Paperback,310,2015,2015,,2019/04/23,to-read,to-read (#445),to-read,,,,0,,,0,,,,,
20803953,"Bully (Fall Away, #1)",Penelope Douglas,"Douglas, Penelope",,"=""""","=""""",0,4.12,Intermix (Penguin Group (USA) LLC),ebook,333,2014,2013,,2019/04/23,to-read,to-read (#446),to-read,,,,0,,,0,,,,,
